iter	Passed	Remaining
0	148	147950
1	158	79000
2	160	53479
3	163	40770
4	166	33121
5	169	28115
6	172	24406
7	174	21602
8	176	19482
9	179	17746
10	182	16367
11	190	15669
12	192	14617
13	194	13719
14	196	12934
15	199	12278
16	202	11687
17	204	11139
18	206	10677
19	215	10535
20	217	10147
21	220	9796
22	228	9711
23	231	9410
24	233	9117
25	235	8837
26	243	8792
27	246	8550
28	248	8335
29	251	8125
30	258	8092
31	261	7896
32	263	7712
33	266	7563
34	273	7529
35	275	7380
36	277	7232
37	280	7091
38	282	6959
39	285	6852
40	287	6728
41	289	6611
42	292	6502
43	320	6973
44	383	8148
45	390	8101
46	399	8109
47	402	7992
48	406	7898
49	413	7854
50	419	7800
51	424	7733
52	428	7649
53	432	7573
54	435	7474
55	439	7414
56	442	7323
57	456	7411
58	459	7335
59	463	7259
60	466	7174
61	472	7141
62	475	7074
63	479	7018
64	492	7085
65	506	7173
66	514	7171
67	530	7269
68	533	7198
69	537	7146
70	566	7417
71	574	7399
72	578	7345
73	583	7305
74	591	7289
75	594	7231
76	598	7171
77	605	7153
78	607	7085
79	610	7022
80	614	6974
81	622	6968
82	623	6891
83	626	6831
84	633	6817
85	639	6791
86	663	6962
87	666	6909
88	669	6855
89	676	6843
90	680	6799
91	683	6742
92	690	6730
93	693	6683
94	696	6631
95	699	6586
96	706	6579
97	709	6529
98	711	6478
99	714	6429
100	721	6419
101	723	6372
102	726	6327
103	729	6281
104	738	6294
105	741	6250
106	743	6206
107	746	6165
108	754	6170
109	757	6129
110	760	6089
111	763	6051
112	769	6039
113	772	6002
114	775	5966
115	778	5929
116	784	5924
117	787	5889
118	792	5865
119	802	5882
120	804	5847
121	806	5807
122	820	5850
123	823	5816
124	843	5901
125	849	5895
126	852	5860
127	856	5832
128	859	5803
129	862	5772
130	866	5750
131	869	5718
132	881	5746
133	886	5728
134	892	5719
135	895	5687
136	897	5656
137	901	5628
138	907	5619
139	910	5590
140	913	5564
141	915	5529
142	926	5553
143	930	5530
144	935	5516
145	940	5499
146	942	5470
147	948	5460
148	954	5449
149	958	5430
150	962	5414
151	967	5399
152	970	5374
153	973	5347
154	976	5324
155	980	5302
156	983	5279
157	989	5272
158	996	5270
159	999	5245
160	1000	5215
161	1005	5201
162	1009	5181
163	1013	5167
164	1018	5154
165	1021	5131
166	1026	5119
167	1033	5117
168	1036	5094
169	1040	5079
170	1044	5064
171	1047	5043
172	1050	5021
173	1054	5003
174	1070	5047
175	1075	5034
176	1078	5013
177	1080	4991
178	1086	4983
179	1091	4973
180	1094	4952
181	1097	4931
182	1110	4959
183	1114	4940
184	1116	4918
185	1121	4907
186	1124	4887
187	1127	4867
188	1129	4848
189	1132	4830
190	1138	4821
191	1145	4819
192	1152	4820
193	1157	4808
194	1160	4788
195	1175	4823
196	1181	4817
197	1184	4799
198	1187	4779
199	1190	4761
200	1193	4742
201	1200	4744
202	1203	4725
203	1208	4713
204	1210	4696
205	1214	4679
206	1217	4664
207	1220	4648
208	1223	4631
209	1227	4617
210	1230	4599
211	1232	4582
212	1235	4566
213	1238	4549
214	1241	4532
215	1246	4525
216	1249	4508
217	1252	4491
218	1254	4474
219	1258	4460
220	1260	4444
221	1263	4429
222	1266	4412
223	1269	4398
224	1272	4384
225	1275	4368
226	1278	4352
227	1281	4337
228	1300	4377
229	1302	4361
230	1305	4347
231	1308	4332
232	1314	4326
233	1317	4313
234	1331	4333
235	1336	4325
236	1338	4310
237	1347	4315
238	1351	4302
239	1354	4289
240	1357	4276
241	1361	4264
242	1366	4256
243	1369	4241
244	1377	4243
245	1379	4229
246	1385	4223
247	1389	4213
248	1393	4202
249	1397	4192
250	1409	4206
251	1414	4198
252	1417	4185
253	1420	4170
254	1430	4179
255	1436	4173
256	1439	4161
257	1444	4153
258	1446	4138
259	1449	4124
260	1451	4109
261	1453	4094
262	1456	4080
263	1458	4065
264	1460	4050
265	1463	4037
266	1466	4026
267	1469	4013
268	1471	3998
269	1474	3987
270	1477	3974
271	1479	3961
272	1492	3975
273	1498	3969
274	1500	3957
275	1503	3944
276	1514	3952
277	1516	3939
278	1519	3926
279	1522	3915
280	1527	3909
281	1540	3923
282	1543	3911
283	1546	3898
284	1549	3886
285	1553	3877
286	1556	3865
287	1558	3853
288	1579	3885
289	1581	3872
290	1585	3863
291	1588	3851
292	1602	3866
293	1605	3854
294	1608	3843
295	1611	3833
296	1615	3825
297	1619	3814
298	1621	3802
299	1625	3792
300	1628	3780
301	1631	3770
302	1634	3758
303	1639	3753
304	1644	3747
305	1647	3735
306	1649	3724
307	1655	3718
308	1657	3707
309	1661	3697
310	1663	3685
311	1666	3675
312	1669	3664
313	1673	3655
314	1676	3645
315	1681	3640
316	1684	3629
317	1687	3618
318	1689	3607
319	1692	3596
320	1697	3591
321	1700	3580
322	1703	3569
323	1706	3559
324	1710	3553
325	1713	3543
326	1724	3548
327	1727	3538
328	1731	3530
329	1733	3520
330	1738	3514
331	1745	3511
332	1757	3519
333	1759	3509
334	1762	3499
335	1769	3495
336	1773	3488
337	1775	3478
338	1778	3467
339	1782	3460
340	1785	3450
341	1788	3440
342	1791	3431
343	1793	3421
344	1797	3411
345	1799	3401
346	1804	3395
347	1809	3390
348	1813	3382
349	1816	3372
350	1820	3365
351	1822	3355
352	1854	3399
353	1862	3398
354	1882	3421
355	1885	3411
356	1893	3410
357	1896	3401
358	1900	3393
359	1911	3397
360	1915	3390
361	1923	3389
362	1925	3379
363	1929	3371
364	1958	3406
365	1960	3396
366	1964	3387
367	1967	3378
368	1970	3369
369	1973	3359
370	1995	3383
371	2005	3385
372	2009	3377
373	2012	3368
374	2021	3368
375	2024	3359
376	2028	3351
377	2040	3358
378	2043	3348
379	2052	3348
380	2066	3357
381	2070	3348
382	2073	3339
383	2076	3330
384	2085	3330
385	2087	3320
386	2090	3311
387	2096	3306
388	2098	3296
389	2101	3287
390	2104	3278
391	2149	3334
392	2154	3327
393	2158	3320
394	2166	3317
395	2168	3308
396	2178	3309
397	2181	3300
398	2185	3292
399	2195	3292
400	2238	3343
401	2242	3335
402	2247	3329
403	2251	3321
404	2256	3315
405	2259	3305
406	2262	3295
407	2264	3286
408	2268	3278
409	2272	3269
410	2286	3277
411	2289	3267
412	2291	3257
413	2294	3248
414	2297	3238
415	2301	3231
416	2304	3222
417	2307	3212
418	2310	3203
419	2320	3205
420	2326	3199
421	2352	3222
422	2355	3212
423	2358	3203
424	2364	3199
425	2367	3190
426	2370	3181
427	2376	3176
428	2381	3169
429	2384	3160
430	2388	3153
431	2392	3145
432	2394	3136
433	2398	3128
434	2402	3120
435	2408	3115
436	2415	3111
437	2421	3107
438	2428	3102
439	2432	3096
440	2490	3157
441	2493	3147
442	2496	3139
443	2499	3129
444	2504	3123
445	2506	3114
446	2509	3104
447	2512	3095
448	2519	3092
449	2522	3083
450	2569	3127
451	2586	3135
452	2589	3126
453	2591	3117
454	2594	3107
455	2600	3102
456	2603	3092
457	2607	3085
458	2614	3081
459	2617	3073
460	2620	3064
461	2627	3059
462	2630	3050
463	2633	3041
464	2648	3046
465	2654	3042
466	2662	3039
467	2669	3034
468	2675	3028
469	2677	3019
470	2680	3010
471	2691	3011
472	2705	3014
473	2708	3005
474	2710	2996
475	2713	2987
476	2716	2978
477	2724	2974
478	2727	2966
479	2753	2982
480	2755	2973
481	2758	2964
482	2761	2955
483	2763	2946
484	2771	2942
485	2773	2933
486	2776	2925
487	2789	2926
488	2792	2917
489	2794	2909
490	2804	2907
491	2807	2898
492	2809	2889
493	2812	2880
494	2815	2872
495	2818	2863
496	2820	2854
497	2824	2847
498	2827	2839
499	2830	2830
500	2832	2821
501	2840	2818
502	2843	2809
503	2849	2804
504	2851	2795
505	2856	2788
506	2859	2780
507	2863	2772
508	2867	2766
509	2870	2758
510	2873	2750
511	2877	2742
512	2908	2761
513	2911	2753
514	2916	2746
515	2919	2737
516	2922	2730
517	2927	2724
518	2937	2722
519	2941	2715
520	2944	2706
521	2947	2699
522	2974	2712
523	2978	2706
524	2982	2698
525	2987	2691
526	2991	2684
527	2996	2678
528	2999	2670
529	3001	2661
530	3004	2653
531	3007	2645
532	3011	2638
533	3033	2647
534	3036	2639
535	3040	2632
536	3043	2624
537	3046	2616
538	3049	2607
539	3059	2606
540	3062	2598
541	3067	2591
542	3072	2585
543	3086	2587
544	3091	2581
545	3094	2572
546	3097	2565
547	3100	2557
548	3103	2549
549	3106	2541
550	3109	2534
551	3112	2526
552	3116	2518
553	3132	2522
554	3137	2515
555	3146	2512
556	3148	2504
557	3154	2498
558	3157	2491
559	3160	2483
560	3162	2475
561	3167	2468
562	3170	2460
563	3173	2453
564	3186	2453
565	3189	2445
566	3191	2437
567	3194	2429
568	3197	2422
569	3202	2416
570	3205	2408
571	3209	2401
572	3213	2394
573	3216	2387
574	3220	2380
575	3224	2373
576	3230	2367
577	3232	2360
578	3235	2352
579	3240	2346
580	3247	2342
581	3250	2334
582	3253	2326
583	3255	2319
584	3260	2312
585	3263	2305
586	3265	2297
587	3268	2290
588	3276	2286
589	3279	2278
590	3284	2272
591	3288	2266
592	3291	2259
593	3294	2251
594	3297	2244
595	3304	2239
596	3307	2232
597	3312	2227
598	3316	2220
599	3321	2214
600	3324	2207
601	3327	2200
602	3335	2195
603	3338	2188
604	3340	2181
605	3343	2173
606	3345	2166
607	3350	2160
608	3352	2152
609	3355	2145
610	3358	2138
611	3366	2134
612	3369	2127
